,energy(keV),source_efficiency
0,1.125,0.0
1,24.372093023255815,0.0
2,47.61918604651163,1.0928177553312162e-15
3,70.86627906976744,3.2473079599667087e-12
4,94.11337209302326,4.441703125655962e-11
5,117.36046511627907,5.269567216207124e-11
6,140.6075581395349,1.0858947548511927e-10
7,163.85465116279067,1.8841817328543163e-10
8,187.1017441860465,2.874897525304937e-10
9,210.3488372093023,4.0331532078253865e-10
10,233.59593023255812,5.340480160350567e-10
11,256.84302325581393,6.778682967254214e-10
12,280.0901162790698,8.316944167835987e-10
13,303.33720930232556,9.939166556559858e-10
14,326.5843023255814,1.1622226109723018e-09
15,349.8313953488372,1.335379584304533e-09
16,373.07848837209303,1.5104817732412536e-09
17,396.3255813953488,1.6866986362884122e-09
18,419.5726744186046,1.8647951458747404e-09
19,442.81976744186045,2.040039401119654e-09
20,466.06686046511624,2.214518683935836e-09
21,489.3139534883721,2.38474690568378e-09
22,512.561046511628,2.553762099723306e-09
23,535.8081395348837,2.7216516914748406e-09
24,559.0552325581396,2.8835198573945004e-09
25,582.3023255813954,3.0417270838338004e-09
26,605.5494186046511,3.1972350504174327e-09
27,628.7965116279071,3.346415602197697e-09
28,652.0436046511628,3.4948311815492294e-09
29,675.2906976744187,3.640263368428708e-09
30,698.5377906976744,3.781805124099206e-09
31,721.7848837209303,3.918538481646248e-09
32,745.0319767441861,4.051534402470057e-09
33,768.2790697674419,4.181776422550432e-09
34,791.5261627906978,4.307537889833948e-09
35,814.7732558139536,4.433113578099059e-09
36,838.0203488372093,4.555640304826794e-09
37,861.267441860465,4.675336633568223e-09
38,884.514534883721,4.792880111331648e-09
39,907.7616279069767,4.906729865082054e-09
40,931.0087209302326,5.017279309211359e-09
41,954.2558139534884,5.125173206195211e-09
42,977.5029069767443,5.230979821266379e-09
43,1000.75,5.333770259332833e-09
44,1023.9970930232558,5.437784653285258e-09
45,1047.2441860465117,5.54000682611894e-09
46,1070.4912790697674,5.638950545686629e-09
47,1093.7383720930234,5.735424497127268e-09
48,1116.985465116279,5.829953232963418e-09
49,1140.232558139535,5.921706211701027e-09
50,1163.4796511627908,6.010464869789029e-09
51,1186.7267441860465,6.097267384094988e-09
52,1209.9738372093022,6.181490848498365e-09
53,1233.220930232558,6.263211760242032e-09
54,1256.4680232558142,6.341774428672793e-09
55,1279.71511627907,6.420479163411748e-09
56,1302.9622093023256,6.49825500305867e-09
57,1326.2093023255813,6.5725447540660865e-09
58,1349.4563953488373,6.645228062973166e-09
59,1372.703488372093,6.7159005872104354e-09
60,1395.9505813953488,6.783841067059378e-09
61,1419.1976744186047,6.849727049528296e-09
62,1442.4447674418607,6.913394611953893e-09
63,1465.6918604651164,6.975707080362878e-09
64,1488.9389534883721,7.035451427046837e-09
65,1512.1860465116279,7.0944635858347225e-09
66,1535.4331395348836,7.151563313550778e-09
67,1558.6802325581396,7.206586687531706e-09
68,1581.9273255813955,7.260506315579746e-09
69,1605.1744186046512,7.315376695074927e-09
70,1628.421511627907,7.368717129712644e-09
71,1651.668604651163,7.4212707355665215e-09
72,1674.9156976744187,7.471758915862824e-09
73,1698.1627906976744,7.521263560179328e-09
74,1721.40988372093,7.568855773424002e-09
75,1744.6569767441863,7.616808616527937e-09
76,1767.904069767442,7.663056663933554e-09
77,1791.1511627906978,7.707261142136702e-09
78,1814.3982558139535,7.750329089874306e-09
79,1837.6453488372092,7.793134761350628e-09
