 Energy [eV],Number of Rays weighted by $\Vert\mathbf{E_{\sigma}}+\mathbf{E_{\pi}}\Vert^2$
6.602568677979012718e+05,2.729108727631893998e+03
6.602568677979012718e+05,2.901291031557742372e+03
6.604568662014126312e+05,2.901291031557742372e+03
6.604568662014126312e+05,2.870107163747898994e+03
6.606568646049239906e+05,2.870107163747898994e+03
6.606568646049239906e+05,3.085044742269647031e+03
6.608568630084353499e+05,3.085044742269647031e+03
6.608568630084354663e+05,3.146157841167330844e+03
6.610568614119468257e+05,3.146157841167330844e+03
6.610568614119468257e+05,3.151137526147253539e+03
6.612568598154581850e+05,3.151137526147253539e+03
6.612568598154581850e+05,3.194454446569744960e+03
6.614568582189695444e+05,3.194454446569744960e+03
6.614568582189695444e+05,3.282962805495852990e+03
6.616568566224809038e+05,3.282962805495852990e+03
6.616568566224809038e+05,3.175195844548088189e+03
6.618568550259922631e+05,3.175195844548088189e+03
6.618568550259922631e+05,3.198258343983193754e+03
6.620568534295036225e+05,3.198258343983193754e+03
6.620568534295036225e+05,3.236720268116179795e+03
6.622568518330149818e+05,3.236720268116179795e+03
6.622568518330149818e+05,3.191030954894953084e+03
6.624568502365263412e+05,3.191030954894953084e+03
6.624568502365263412e+05,3.118846790588931526e+03
6.626568486400377005e+05,3.118846790588931526e+03
6.626568486400378169e+05,3.164455910617860354e+03
6.628568470435491763e+05,3.164455910617860354e+03
6.628568470435491763e+05,3.051033317289847218e+03
6.630568454470605357e+05,3.051033317289847218e+03
6.630568454470605357e+05,2.913813723566042881e+03
6.632568438505718950e+05,2.913813723566042881e+03
6.632568438505718950e+05,2.853768459788092514e+03
6.634568422540832544e+05,2.853768459788092514e+03
6.634568422540832544e+05,2.836134227833697423e+03
6.636568406575946137e+05,2.836134227833697423e+03
6.636568406575946137e+05,2.702236558751848861e+03
6.638568390611059731e+05,2.702236558751848861e+03
6.638568390611059731e+05,2.576039225217544299e+03
6.640568374646173324e+05,2.576039225217544299e+03
6.640568374646173324e+05,2.475659653914234696e+03
6.642568358681286918e+05,2.475659653914234696e+03
6.642568358681288082e+05,2.286401224685449506e+03
6.644568342716401676e+05,2.286401224685449506e+03
6.644568342716401676e+05,2.231761998117711300e+03
6.646568326751515269e+05,2.231761998117711300e+03
6.646568326751515269e+05,2.039466492507541943e+03
6.648568310786628863e+05,2.039466492507541943e+03
6.648568310786628863e+05,1.927182910044072059e+03
6.650568294821742456e+05,1.927182910044072059e+03
6.650568294821742456e+05,1.693989149844459689e+03
6.652568278856856050e+05,1.693989149844459689e+03
6.652568278856856050e+05,1.650450349888020355e+03
6.654568262891969644e+05,1.650450349888020355e+03
6.654568262891969644e+05,1.476298669196621631e+03
6.656568246927083237e+05,1.476298669196621631e+03
6.656568246927083237e+05,1.332361153135620270e+03
6.658568230962196831e+05,1.332361153135620270e+03
6.658568230962197995e+05,1.170304792706292801e+03
6.660568214997311588e+05,1.170304792706292801e+03
6.660568214997311588e+05,1.078565600692258386e+03
6.662568199032425182e+05,1.078565600692258386e+03
6.662568199032425182e+05,9.059917195657303637e+02
6.664568183067538776e+05,9.059917195657303637e+02
6.664568183067538776e+05,8.128965623190694032e+02
6.666568167102652369e+05,8.128965623190694032e+02
6.666568167102652369e+05,7.124830974777490837e+02
6.668568151137765963e+05,7.124830974777490837e+02
6.668568151137765963e+05,5.779190217907895430e+02
6.670568135172879556e+05,5.779190217907895430e+02
6.670568135172879556e+05,4.790334170321388001e+02
6.672568119207993150e+05,4.790334170321388001e+02
6.672568119207993150e+05,3.965048802640959025e+02
6.674568103243106743e+05,3.965048802640959025e+02
6.674568103243106743e+05,3.122529019411184095e+02
6.676568087278220337e+05,3.122529019411184095e+02
6.676568087278221501e+05,2.469847718270327164e+02
6.678568071313335095e+05,2.469847718270327164e+02
6.678568071313335095e+05,1.892627241741278965e+02
6.680568055348448688e+05,1.892627241741278965e+02
6.680568055348448688e+05,1.322350618073704140e+02
6.682568039383562282e+05,1.322350618073704140e+02
6.682568039383562282e+05,9.494722869391314646e+01
6.684568023418675875e+05,9.494722869391314646e+01
6.684568023418675875e+05,6.717827462496849478e+01
6.686568007453789469e+05,6.717827462496849478e+01
6.686568007453789469e+05,3.273897582692033126e+01
6.688567991488903062e+05,3.273897582692033126e+01
6.688567991488903062e+05,2.478967623921798236e+01
