 Energy [eV],Number of Rays weighted by $\Vert\mathbf{E_{\sigma}}+\mathbf{E_{\pi}}\Vert^2$
1.025499967719657725e+05,6.333251552100038761e-01
1.026199967600604141e+05,6.333251552100038761e-01
1.026199967600604141e+05,6.336680027700040130e-01
1.026899967481550557e+05,6.336680027700040130e-01
1.026899967481550702e+05,6.354850948380039721e-01
1.027599967362497118e+05,6.354850948380039721e-01
1.027599967362497118e+05,6.326566024680040368e-01
1.028299967243443534e+05,6.326566024680040368e-01
1.028299967243443680e+05,6.399763978740040660e-01
1.028999967124390096e+05,6.399763978740040660e-01
1.028999967124390096e+05,6.343194131340040842e-01
1.029699967005336512e+05,6.343194131340040842e-01
1.029699967005336657e+05,6.347993997180041426e-01
1.030399966886283073e+05,6.347993997180041426e-01
1.030399966886283073e+05,6.330165924060040528e-01
1.031099966767229489e+05,6.330165924060040528e-01
1.031099966767229635e+05,6.436448667660044087e-01
1.031799966648176051e+05,6.436448667660044087e-01
1.031799966648176051e+05,6.348336844740042340e-01
1.032499966529122466e+05,6.348336844740042340e-01
1.032499966529122612e+05,6.316740884391671695e-01
1.033199966410069028e+05,6.316740884391671695e-01
1.033199966410069028e+05,6.542178604997511693e-01
1.033899966291015444e+05,6.542178604997511693e-01
1.033899966291015444e+05,8.481538983130646470e-01
1.034599966171961860e+05,8.481538983130646470e-01
1.034599966171962005e+05,2.188071136222426549e+00
1.035299966052908421e+05,2.188071136222426549e+00
1.035299966052908421e+05,7.020496100719381793e+00
1.035999965933854837e+05,7.020496100719381793e+00
1.035999965933854983e+05,2.900438791279374939e+01
1.036699965814801399e+05,2.900438791279374939e+01
1.036699965814801399e+05,6.927630618104726068e+01
1.037399965695747815e+05,6.927630618104726068e+01
1.037399965695747960e+05,1.206969898960385024e+02
1.038099965576694376e+05,1.206969898960385024e+02
1.038099965576694376e+05,1.946770650870413135e+02
1.038799965457640792e+05,1.946770650870413135e+02
1.038799965457640938e+05,2.908893733107275352e+02
1.039499965338587353e+05,2.908893733107275352e+02
1.039499965338587353e+05,3.724354164210097906e+02
1.040199965219533769e+05,3.724354164210097906e+02
1.040199965219533769e+05,5.619392698426354400e+02
1.040899965100480185e+05,5.619392698426354400e+02
1.040899965100480331e+05,7.265163508723106816e+02
1.041599964981426747e+05,7.265163508723106816e+02
1.041599964981426747e+05,9.018637856757685540e+02
1.042299964862373163e+05,9.018637856757685540e+02
1.042299964862373308e+05,1.131920738330795302e+03
1.042999964743319724e+05,1.131920738330795302e+03
1.042999964743319724e+05,1.327101003121177200e+03
1.043699964624266140e+05,1.327101003121177200e+03
1.043699964624266286e+05,1.589844735729919876e+03
1.044399964505212702e+05,1.589844735729919876e+03
1.044399964505212702e+05,1.817454077662847567e+03
1.045099964386159118e+05,1.817454077662847567e+03
1.045099964386159263e+05,2.088110210155552068e+03
1.045799964267105679e+05,2.088110210155552068e+03
1.045799964267105679e+05,2.454500105434985016e+03
1.046499964148052095e+05,2.454500105434985016e+03
1.046499964148052095e+05,2.809136066399116771e+03
1.047199964028998511e+05,2.809136066399116771e+03
1.047199964028998656e+05,3.381404549434142154e+03
1.047899963909945072e+05,3.381404549434142154e+03
1.047899963909945072e+05,3.744156576160040458e+03
1.048599963790891488e+05,3.744156576160040458e+03
1.048599963790891634e+05,4.239882474405725588e+03
1.049299963671838050e+05,4.239882474405725588e+03
1.049299963671838050e+05,4.805277387976595492e+03
1.049999963552784466e+05,4.805277387976595492e+03
1.049999963552784611e+05,5.549570973557141770e+03
1.050699963433731027e+05,5.549570973557141770e+03
1.050699963433731027e+05,6.014906690991421783e+03
1.051399963314677443e+05,6.014906690991421783e+03
1.051399963314677589e+05,6.785249647927586011e+03
1.052099963195624005e+05,6.785249647927586011e+03
1.052099963195624005e+05,7.672241467777939761e+03
1.052799963076570421e+05,7.672241467777939761e+03
1.052799963076570566e+05,8.372775716317253682e+03
1.053499962957516982e+05,8.372775716317253682e+03
1.053499962957516982e+05,9.182296236509802839e+03
1.054199962838463398e+05,9.182296236509802839e+03
1.054199962838463398e+05,1.005878742452986808e+04
1.054899962719409814e+05,1.005878742452986808e+04
1.054899962719409959e+05,1.111361286443931203e+04
1.055599962600356375e+05,1.111361286443931203e+04
1.055599962600356375e+05,1.212834966637209800e+04
1.056299962481302791e+05,1.212834966637209800e+04
1.056299962481302937e+05,1.264137249967827302e+04
1.056999962362249353e+05,1.264137249967827302e+04
1.056999962362249353e+05,1.318655753506149813e+04
1.057699962243195769e+05,1.318655753506149813e+04
1.057699962243195914e+05,1.378064486463994035e+04
1.058399962124142330e+05,1.378064486463994035e+04
1.058399962124142330e+05,1.398075189135341134e+04
1.059099962005088746e+05,1.398075189135341134e+04
1.059099962005088892e+05,1.432836675717379148e+04
1.059799961886035308e+05,1.432836675717379148e+04
1.059799961886035308e+05,1.396467089584506903e+04
1.060499961766981723e+05,1.396467089584506903e+04
1.060499961766981869e+05,1.379710304024834841e+04
1.061199961647928285e+05,1.379710304024834841e+04
1.061199961647928285e+05,1.310829214590844640e+04
1.061899961528874701e+05,1.310829214590844640e+04
1.061899961528874701e+05,1.242585003721924295e+04
1.062599961409821117e+05,1.242585003721924295e+04
1.062599961409821262e+05,1.147687774350597101e+04
1.063299961290767678e+05,1.147687774350597101e+04
1.063299961290767678e+05,1.041235858074306452e+04
1.063999961171714094e+05,1.041235858074306452e+04
1.063999961171714240e+05,9.115962396683940824e+03
1.064699961052660656e+05,9.115962396683940824e+03
1.064699961052660656e+05,7.922919741437784069e+03
1.065399960933607072e+05,7.922919741437784069e+03
1.065399960933607217e+05,6.514327820720533055e+03
1.066099960814553633e+05,6.514327820720533055e+03
1.066099960814553633e+05,5.282189346372479122e+03
1.066799960695500049e+05,5.282189346372479122e+03
1.066799960695500195e+05,4.105873183411468744e+03
1.067499960576446611e+05,4.105873183411468744e+03
1.067499960576446611e+05,3.104253229087778436e+03
1.068199960457393026e+05,3.104253229087778436e+03
1.068199960457393026e+05,2.255332215753714536e+03
1.068899960338339442e+05,2.255332215753714536e+03
1.068899960338339588e+05,1.440215498407250607e+03
1.069599960219286004e+05,1.440215498407250607e+03
1.069599960219286004e+05,8.319009214247510045e+02
1.070299960100232420e+05,8.319009214247510045e+02
1.070299960100232565e+05,3.801967802591797181e+02
1.070999959981178981e+05,3.801967802591797181e+02
1.070999959981178981e+05,1.180805658031039087e+02
1.071699959862125397e+05,1.180805658031039087e+02
1.071699959862125543e+05,2.483652415087378884e+01
1.072399959743071959e+05,2.483652415087378884e+01
1.072399959743071959e+05,4.083205913548383137e+00
1.073099959624018375e+05,4.083205913548383137e+00
1.073099959624018520e+05,7.419558120521878575e-01
1.073799959504964936e+05,7.419558120521878575e-01
1.073799959504964936e+05,4.411676899772919991e-01
1.074499959385911352e+05,4.411676899772919991e-01
1.074499959385911352e+05,4.205674839597382531e-01
1.075199959266857768e+05,4.205674839597382531e-01
1.075199959266857913e+05,4.207146265629958526e-01
1.075899959147804329e+05,4.207146265629958526e-01
1.075899959147804329e+05,4.173782246479958435e-01
1.076599959028750745e+05,4.173782246479958435e-01
1.076599959028750891e+05,4.177853787799959417e-01
1.077299958909697307e+05,4.177853787799959417e-01
1.077299958909697307e+05,4.228521857559957020e-01
1.077999958790643723e+05,4.228521857559957020e-01
1.077999958790643868e+05,4.193800657969958268e-01
1.078699958671590284e+05,4.193800657969958268e-01
1.078699958671590284e+05,4.184526591629957326e-01
1.079399958552536700e+05,4.184526591629957326e-01
1.079399958552536846e+05,4.169371410049956816e-01
1.080099958433483262e+05,4.169371410049956816e-01
1.080099958433483262e+05,4.179663361719956893e-01
1.080799958314429678e+05,4.179663361719956893e-01
1.080799958314429823e+05,4.181472935639957700e-01
1.081499958195376239e+05,4.181472935639957700e-01
1.081499958195376239e+05,4.162133114369956921e-01
1.082199958076322655e+05,4.162133114369956921e-01
1.082199958076322655e+05,4.217664414039957732e-01
1.082899957957269071e+05,4.217664414039957732e-01
1.082899957957269216e+05,4.204884298229958906e-01
1.083599957838215632e+05,4.204884298229958906e-01
