 Energy [eV],Number of Rays weighted by $\Vert\mathbf{E_{\sigma}}+\mathbf{E_{\pi}}\Vert^2$
9.854999736003097496e+04,5.125815088133256481e-02
9.869999730355232896e+04,5.125815088133256481e-02
9.869999730355232896e+04,5.405218714816584918e-02
9.884999724707368296e+04,5.405218714816584918e-02
9.884999724707368296e+04,6.129956560102730462e-02
9.899999719059503695e+04,6.129956560102730462e-02
9.899999719059503695e+04,8.618847099989038196e-02
9.914999713411639095e+04,8.618847099989038196e-02
9.914999713411639095e+04,1.522766824142798847e-01
9.929999707763774495e+04,1.522766824142798847e-01
9.929999707763774495e+04,2.769509546732847882e-01
9.944999702115909895e+04,2.769509546732847882e-01
9.944999702115909895e+04,5.452347982169237772e-01
9.959999696468045295e+04,5.452347982169237772e-01
9.959999696468045295e+04,1.334626080494467182e+00
9.974999690820180695e+04,1.334626080494467182e+00
9.974999690820180695e+04,2.877934818254741067e+00
9.989999685172316094e+04,2.877934818254741067e+00
9.989999685172314639e+04,5.731898320704497785e+00
1.000499967952445004e+05,5.731898320704497785e+00
1.000499967952445004e+05,1.190677293476766074e+01
1.001999967387658544e+05,1.190677293476766074e+01
1.001999967387658544e+05,2.313348575158479647e+01
1.003499966822872084e+05,2.313348575158479647e+01
1.003499966822872084e+05,4.202523513904652930e+01
1.004999966258085624e+05,4.202523513904652930e+01
1.004999966258085624e+05,6.975403455184294899e+01
1.006499965693299164e+05,6.975403455184294899e+01
1.006499965693299164e+05,1.202724447265547099e+02
1.007999965128512704e+05,1.202724447265547099e+02
1.007999965128512704e+05,1.816015287667730433e+02
1.009499964563726244e+05,1.816015287667730433e+02
1.009499964563726244e+05,2.698700030589307630e+02
1.010999963998939784e+05,2.698700030589307630e+02
1.010999963998939784e+05,4.165910061396417063e+02
1.012499963434153324e+05,4.165910061396417063e+02
1.012499963434153324e+05,6.099739836326870090e+02
1.013999962869366864e+05,6.099739836326870090e+02
1.013999962869366864e+05,8.441330546099690082e+02
1.015499962304580404e+05,8.441330546099690082e+02
1.015499962304580404e+05,1.107682654537522012e+03
1.016999961739793944e+05,1.107682654537522012e+03
1.016999961739793944e+05,1.537022713748197475e+03
1.018499961175007484e+05,1.537022713748197475e+03
1.018499961175007484e+05,2.050801075803083677e+03
1.019999960610221024e+05,2.050801075803083677e+03
1.019999960610221024e+05,2.702169606625659981e+03
1.021499960045434564e+05,2.702169606625659981e+03
1.021499960045434564e+05,3.478208408462116040e+03
1.022999959480648104e+05,3.478208408462116040e+03
1.022999959480648104e+05,4.386302976445099375e+03
1.024499958915861644e+05,4.386302976445099375e+03
1.024499958915861498e+05,5.436517956997201509e+03
