 Energy [eV],Number of Rays weighted by $\Vert\mathbf{E_{\sigma}}+\mathbf{E_{\pi}}\Vert^2$
1.015499968615085236e+05,1.288050846522944104e+00
1.016399968527541205e+05,1.288050846522944104e+00
1.016399968527541205e+05,2.997376896508911592e+00
1.017299968439997174e+05,2.997376896508911592e+00
1.017299968439997174e+05,6.040488620555485078e+00
1.018199968352453143e+05,6.040488620555485078e+00
1.018199968352452997e+05,1.020905156468212738e+01
1.019099968264908966e+05,1.020905156468212738e+01
1.019099968264908966e+05,1.882466436499504425e+01
1.019999968177364935e+05,1.882466436499504425e+01
1.019999968177364935e+05,3.203409155341554282e+01
1.020899968089820904e+05,3.203409155341554282e+01
1.020899968089820904e+05,5.590833750560217652e+01
1.021799968002276873e+05,5.590833750560217652e+01
1.021799968002276873e+05,1.005887272505227372e+02
1.022699967914732842e+05,1.005887272505227372e+02
1.022699967914732697e+05,1.387140064387627660e+02
1.023599967827188666e+05,1.387140064387627660e+02
1.023599967827188666e+05,2.065691110241596391e+02
1.024499967739644635e+05,2.065691110241596391e+02
1.024499967739644635e+05,3.074524896594803067e+02
1.025399967652100604e+05,3.074524896594803067e+02
1.025399967652100604e+05,4.026832164892934998e+02
1.026299967564556573e+05,4.026832164892934998e+02
1.026299967564556573e+05,5.656956255090279910e+02
1.027199967477012542e+05,5.656956255090279910e+02
1.027199967477012397e+05,7.195968982214724292e+02
1.028099967389468366e+05,7.195968982214724292e+02
1.028099967389468366e+05,9.508532671694887313e+02
1.028999967301924335e+05,9.508532671694887313e+02
1.028999967301924335e+05,1.189921790116836064e+03
1.029899967214380304e+05,1.189921790116836064e+03
1.029899967214380304e+05,1.560805362416254866e+03
1.030799967126836273e+05,1.560805362416254866e+03
1.030799967126836273e+05,1.901331812995695145e+03
1.031699967039292242e+05,1.901331812995695145e+03
1.031699967039292096e+05,2.355769816792332222e+03
1.032599966951748065e+05,2.355769816792332222e+03
1.032599966951748065e+05,2.868031533197126009e+03
1.033499966864204034e+05,2.868031533197126009e+03
1.033499966864204034e+05,3.453797111794910961e+03
1.034399966776660003e+05,3.453797111794910961e+03
1.034399966776660003e+05,4.227861741917646214e+03
1.035299966689115972e+05,4.227861741917646214e+03
1.035299966689115972e+05,5.045964490602825208e+03
1.036199966601571941e+05,5.045964490602825208e+03
1.036199966601571796e+05,6.009927435765797782e+03
1.037099966514027765e+05,6.009927435765797782e+03
1.037099966514027765e+05,7.126171206656121285e+03
1.037999966426483734e+05,7.126171206656121285e+03
1.037999966426483734e+05,8.442918517046660781e+03
1.038899966338939703e+05,8.442918517046660781e+03
1.038899966338939703e+05,1.002488554125512201e+04
1.039799966251395672e+05,1.002488554125512201e+04
1.039799966251395672e+05,1.148967389943194576e+04
1.040699966163851641e+05,1.148967389943194576e+04
1.040699966163851495e+05,1.334181600206200346e+04
1.041599966076307464e+05,1.334181600206200346e+04
1.041599966076307464e+05,1.511706730530901223e+04
