 Energy [eV],Number of Rays weighted by $\Vert\mathbf{E_{\sigma}}+\mathbf{E_{\pi}}\Vert^2$
6.336569206170272082e+05,1.596246684782810288e+00
6.342169199692462571e+05,1.596246684782810288e+00
6.342169199692462571e+05,1.718034019302331572e+00
6.347769193214653060e+05,1.718034019302331572e+00
6.347769193214654224e+05,1.940350472569509321e+00
6.353369186736844713e+05,1.940350472569509321e+00
6.353369186736844713e+05,2.366797029068048008e+00
6.358969180259035202e+05,2.366797029068048008e+00
6.358969180259036366e+05,2.984187212775164966e+00
6.364569173781226855e+05,2.984187212775164966e+00
6.364569173781226855e+05,3.791233577350995532e+00
6.370169167303417344e+05,3.791233577350995532e+00
6.370169167303417344e+05,5.266537769287503501e+00
6.375769160825607833e+05,5.266537769287503501e+00
6.375769160825608997e+05,7.103758563909858381e+00
6.381369154347799486e+05,7.103758563909858381e+00
6.381369154347799486e+05,1.061235764244865010e+01
6.386969147869989974e+05,1.061235764244865010e+01
6.386969147869989974e+05,1.430984076210505762e+01
6.392569141392180463e+05,1.430984076210505762e+01
6.392569141392181627e+05,2.011634602626292079e+01
6.398169134914372116e+05,2.011634602626292079e+01
6.398169134914372116e+05,2.908269796376217897e+01
6.403769128436562605e+05,2.908269796376217897e+01
6.403769128436563769e+05,4.027710381013361740e+01
6.409369121958754258e+05,4.027710381013361740e+01
6.409369121958754258e+05,5.372595931480896070e+01
6.414969115480944747e+05,5.372595931480896070e+01
6.414969115480944747e+05,7.411298203972229715e+01
6.420569109003135236e+05,7.411298203972229715e+01
6.420569109003136400e+05,9.980688394447318501e+01
6.426169102525326889e+05,9.980688394447318501e+01
6.426169102525326889e+05,1.353560667885610371e+02
6.431769096047517378e+05,1.353560667885610371e+02
6.431769096047517378e+05,1.755043413847905356e+02
6.437369089569707867e+05,1.755043413847905356e+02
6.437369089569709031e+05,2.358215017934781201e+02
6.442969083091899520e+05,2.358215017934781201e+02
6.442969083091899520e+05,2.890595984661198372e+02
6.448569076614090009e+05,2.890595984661198372e+02
6.448569076614091173e+05,3.712277645896954255e+02
6.454169070136281662e+05,3.712277645896954255e+02
6.454169070136281662e+05,4.830052363038371936e+02
6.459769063658472151e+05,4.830052363038371936e+02
6.459769063658472151e+05,5.803260658723570486e+02
6.465369057180662639e+05,5.803260658723570486e+02
6.465369057180663804e+05,6.932106951259318066e+02
6.470969050702854292e+05,6.932106951259318066e+02
6.470969050702854292e+05,8.443636287059161987e+02
6.476569044225044781e+05,8.443636287059161987e+02
6.476569044225045945e+05,1.031049161510145723e+03
6.482169037747236434e+05,1.031049161510145723e+03
6.482169037747236434e+05,1.202407039902983342e+03
6.487769031269426923e+05,1.202407039902983342e+03
6.487769031269426923e+05,1.404936349326593245e+03
6.493369024791617412e+05,1.404936349326593245e+03
6.493369024791618576e+05,1.631047158148105382e+03
6.498969018313809065e+05,1.631047158148105382e+03
6.498969018313809065e+05,1.866297023250984239e+03
6.504569011835999554e+05,1.866297023250984239e+03
6.504569011835999554e+05,2.090282172338427699e+03
6.510169005358190043e+05,2.090282172338427699e+03
6.510169005358191207e+05,2.369177290027598247e+03
6.515768998880381696e+05,2.369177290027598247e+03
6.515768998880381696e+05,2.604306910504285042e+03
6.521368992402572185e+05,2.604306910504285042e+03
6.521368992402573349e+05,2.904118618318262179e+03
6.526968985924763838e+05,2.904118618318262179e+03
6.526968985924763838e+05,3.188439997280209809e+03
6.532568979446954327e+05,3.188439997280209809e+03
6.532568979446954327e+05,3.488682790977239620e+03
6.538168972969144816e+05,3.488682790977239620e+03
6.538168972969145980e+05,3.760004603175571447e+03
6.543768966491336469e+05,3.760004603175571447e+03
6.543768966491336469e+05,4.008394602528103405e+03
6.549368960013526957e+05,4.008394602528103405e+03
6.549368960013526957e+05,4.323630270752923934e+03
6.554968953535717446e+05,4.323630270752923934e+03
6.554968953535718611e+05,4.584886355058793015e+03
6.560568947057909099e+05,4.584886355058793015e+03
6.560568947057909099e+05,4.894026363909071733e+03
6.566168940580099588e+05,4.894026363909071733e+03
6.566168940580100752e+05,5.080036354101958750e+03
6.571768934102291241e+05,5.080036354101958750e+03
6.571768934102291241e+05,5.336000623248104603e+03
6.577368927624481730e+05,5.336000623248104603e+03
6.577368927624481730e+05,5.631548463454606463e+03
6.582968921146672219e+05,5.631548463454606463e+03
6.582968921146673383e+05,5.823722114183388840e+03
6.588568914668863872e+05,5.823722114183388840e+03
6.588568914668863872e+05,5.940819268965150513e+03
6.594168908191054361e+05,5.940819268965150513e+03
6.594168908191054361e+05,6.132996711519465862e+03
6.599768901713244850e+05,6.132996711519465862e+03
6.599768901713246014e+05,6.290229191879187965e+03
6.605368895235436503e+05,6.290229191879187965e+03
6.605368895235436503e+05,6.280506414589577616e+03
6.610968888757626992e+05,6.280506414589577616e+03
6.610968888757628156e+05,6.345122227616100645e+03
6.616568882279818645e+05,6.345122227616100645e+03
6.616568882279818645e+05,6.329123165333355246e+03
6.622168875802009134e+05,6.329123165333355246e+03
6.622168875802009134e+05,6.418706470121363964e+03
6.627768869324199622e+05,6.418706470121363964e+03
6.627768869324200787e+05,6.391024856364896550e+03
6.633368862846391276e+05,6.391024856364896550e+03
6.633368862846391276e+05,6.254640434243004165e+03
6.638968856368581764e+05,6.254640434243004165e+03
6.638968856368581764e+05,6.222454310095996334e+03
6.644568849890772253e+05,6.222454310095996334e+03
6.644568849890773417e+05,6.037852990404474440e+03
6.650168843412963906e+05,6.037852990404474440e+03
6.650168843412963906e+05,5.872969458988009137e+03
6.655768836935154395e+05,5.872969458988009137e+03
6.655768836935155559e+05,5.687222447340149301e+03
6.661368830457346048e+05,5.687222447340149301e+03
6.661368830457346048e+05,5.462002773732956484e+03
6.666968823979536537e+05,5.462002773732956484e+03
6.666968823979536537e+05,5.272706912113402723e+03
6.672568817501727026e+05,5.272706912113402723e+03
6.672568817501728190e+05,4.948343209563861819e+03
6.678168811023918679e+05,4.948343209563861819e+03
6.678168811023918679e+05,4.732840075417258049e+03
6.683768804546109168e+05,4.732840075417258049e+03
6.683768804546110332e+05,4.516139067784591134e+03
6.689368798068300821e+05,4.516139067784591134e+03
6.689368798068300821e+05,4.227624339751444495e+03
6.694968791590491310e+05,4.227624339751444495e+03
6.694968791590491310e+05,4.008751929686360654e+03
6.700568785112681799e+05,4.008751929686360654e+03
6.700568785112682963e+05,3.644653797488600958e+03
6.706168778634873452e+05,3.644653797488600958e+03
6.706168778634873452e+05,3.433475450684428324e+03
6.711768772157063941e+05,3.433475450684428324e+03
6.711768772157063941e+05,3.106801775179000742e+03
6.717368765679254429e+05,3.106801775179000742e+03
6.717368765679255594e+05,2.813014090877135914e+03
6.722968759201446082e+05,2.813014090877135914e+03
6.722968759201446082e+05,2.597263816329358633e+03
6.728568752723636571e+05,2.597263816329358633e+03
6.728568752723637735e+05,2.368061024748831187e+03
6.734168746245828224e+05,2.368061024748831187e+03
6.734168746245828224e+05,2.142884213443560384e+03
6.739768739768018713e+05,2.142884213443560384e+03
6.739768739768018713e+05,1.863087142464091130e+03
6.745368733290209202e+05,1.863087142464091130e+03
6.745368733290210366e+05,1.685872810849373991e+03
6.750968726812400855e+05,1.685872810849373991e+03
6.750968726812400855e+05,1.459059962345409986e+03
6.756568720334591344e+05,1.459059962345409986e+03
6.756568720334591344e+05,1.281888737617193101e+03
6.762168713856781833e+05,1.281888737617193101e+03
6.762168713856782997e+05,1.066335576622832377e+03
