 Energy [eV],Number of Rays weighted by $\Vert\mathbf{E_{\sigma}}+\mathbf{E_{\pi}}\Vert^2$
6.116568939869436435e+05,6.510997798779614154e-01
6.126568937654740876e+05,6.510997798779614154e-01
6.126568937654740876e+05,9.553068812595043591e-01
6.136568935440045316e+05,9.553068812595043591e-01
6.136568935440045316e+05,1.375674436312085192e+00
6.146568933225349756e+05,1.375674436312085192e+00
6.146568933225350920e+05,2.072513009779563653e+00
6.156568931010655360e+05,2.072513009779563653e+00
6.156568931010655360e+05,3.153512360658277558e+00
6.166568928795959800e+05,3.153512360658277558e+00
6.166568928795959800e+05,4.743963840925517594e+00
6.176568926581264241e+05,4.743963840925517594e+00
6.176568926581264241e+05,6.946096769795677695e+00
6.186568924366568681e+05,6.946096769795677695e+00
6.186568924366568681e+05,1.012991036116943633e+01
6.196568922151873121e+05,1.012991036116943633e+01
6.196568922151874285e+05,1.458685337997190423e+01
6.206568919937178725e+05,1.458685337997190423e+01
6.206568919937178725e+05,2.093377358290277712e+01
6.216568917722483166e+05,2.093377358290277712e+01
6.216568917722483166e+05,2.970264443025292422e+01
6.226568915507787606e+05,2.970264443025292422e+01
6.226568915507787606e+05,4.268298598402029143e+01
6.236568913293092046e+05,4.268298598402029143e+01
6.236568913293092046e+05,5.746840549507873419e+01
6.246568911078396486e+05,5.746840549507873419e+01
6.246568911078397650e+05,8.036961352143048032e+01
6.256568908863702090e+05,8.036961352143048032e+01
6.256568908863702090e+05,1.057971134868118952e+02
6.266568906649006531e+05,1.057971134868118952e+02
6.266568906649006531e+05,1.413412880443994482e+02
6.276568904434310971e+05,1.413412880443994482e+02
6.276568904434310971e+05,1.836155844345879018e+02
6.286568902219615411e+05,1.836155844345879018e+02
6.286568902219615411e+05,2.431963592608137219e+02
6.296568900004919851e+05,2.431963592608137219e+02
6.296568900004921015e+05,3.069225284734756656e+02
6.306568897790225456e+05,3.069225284734756656e+02
6.306568897790225456e+05,3.910171563296381123e+02
6.316568895575529896e+05,3.910171563296381123e+02
6.316568895575529896e+05,4.995851506448832424e+02
6.326568893360834336e+05,4.995851506448832424e+02
6.326568893360834336e+05,6.138898325854789846e+02
6.336568891146138776e+05,6.138898325854789846e+02
6.336568891146138776e+05,7.400319225642290348e+02
6.346568888931443216e+05,7.400319225642290348e+02
6.346568888931444380e+05,8.819674340308603178e+02
6.356568886716748821e+05,8.819674340308603178e+02
6.356568886716748821e+05,1.073255583397592318e+03
6.366568884502053261e+05,1.073255583397592318e+03
6.366568884502053261e+05,1.268709873575828169e+03
6.376568882287357701e+05,1.268709873575828169e+03
6.376568882287357701e+05,1.486353578007825263e+03
6.386568880072662141e+05,1.486353578007825263e+03
6.386568880072662141e+05,1.691485339675389923e+03
6.396568877857966581e+05,1.691485339675389923e+03
6.396568877857967746e+05,1.966991421426157785e+03
6.406568875643272186e+05,1.966991421426157785e+03
6.406568875643272186e+05,2.261448293399350860e+03
6.416568873428576626e+05,2.261448293399350860e+03
6.416568873428576626e+05,2.561792608223716343e+03
6.426568871213881066e+05,2.561792608223716343e+03
6.426568871213881066e+05,2.868882090069609603e+03
6.436568868999185506e+05,2.868882090069609603e+03
6.436568868999185506e+05,3.203370184284409333e+03
6.446568866784489946e+05,3.203370184284409333e+03
6.446568866784491111e+05,3.559218244679590498e+03
6.456568864569795551e+05,3.559218244679590498e+03
6.456568864569795551e+05,3.782293953262448213e+03
6.466568862355099991e+05,3.782293953262448213e+03
6.466568862355099991e+05,4.179606803262470748e+03
6.476568860140404431e+05,4.179606803262470748e+03
6.476568860140404431e+05,4.480044357834929542e+03
6.486568857925708871e+05,4.480044357834929542e+03
6.486568857925708871e+05,4.884324607735703466e+03
6.496568855711013312e+05,4.884324607735703466e+03
6.496568855711014476e+05,5.145345798189069683e+03
6.506568853496318916e+05,5.145345798189069683e+03
6.506568853496318916e+05,5.498886708864278262e+03
6.516568851281623356e+05,5.498886708864278262e+03
6.516568851281623356e+05,5.723152813118684207e+03
6.526568849066927796e+05,5.723152813118684207e+03
6.526568849066927796e+05,6.054808463875882808e+03
6.536568846852232236e+05,6.054808463875882808e+03
6.536568846852232236e+05,6.325590565772196896e+03
6.546568844637536677e+05,6.325590565772196896e+03
6.546568844637537841e+05,6.598122237456173934e+03
6.556568842422842281e+05,6.598122237456173934e+03
6.556568842422842281e+05,6.743233227579117738e+03
6.566568840208146721e+05,6.743233227579117738e+03
6.566568840208146721e+05,7.008200466316839993e+03
6.576568837993451161e+05,7.008200466316839993e+03
6.576568837993451161e+05,7.124628809918794104e+03
6.586568835778755601e+05,7.124628809918794104e+03
6.586568835778755601e+05,7.252840699114592098e+03
6.596568833564060042e+05,7.252840699114592098e+03
6.596568833564061206e+05,7.293224345719883786e+03
6.606568831349365646e+05,7.293224345719883786e+03
6.606568831349365646e+05,7.362877851792979527e+03
6.616568829134670086e+05,7.362877851792979527e+03
6.616568829134670086e+05,7.395427264575803747e+03
6.626568826919974526e+05,7.395427264575803747e+03
6.626568826919974526e+05,7.261784819915505977e+03
6.636568824705278967e+05,7.261784819915505977e+03
6.636568824705278967e+05,7.227436311354562349e+03
6.646568822490583407e+05,7.227436311354562349e+03
6.646568822490584571e+05,7.154496318908095418e+03
6.656568820275889011e+05,7.154496318908095418e+03
6.656568820275889011e+05,7.126467288740525873e+03
6.666568818061193451e+05,7.126467288740525873e+03
6.666568818061193451e+05,6.876337882354788235e+03
6.676568815846497891e+05,6.876337882354788235e+03
6.676568815846497891e+05,6.685004533225905107e+03
6.686568813631802332e+05,6.685004533225905107e+03
6.686568813631802332e+05,6.430213527789649561e+03
6.696568811417106772e+05,6.430213527789649561e+03
6.696568811417107936e+05,6.274576287275355753e+03
6.706568809202412376e+05,6.274576287275355753e+03
6.706568809202412376e+05,5.975655976535496848e+03
6.716568806987716816e+05,5.975655976535496848e+03
6.716568806987716816e+05,5.609719061589867124e+03
6.726568804773021257e+05,5.609719061589867124e+03
6.726568804773021257e+05,5.313734354186071869e+03
6.736568802558325697e+05,5.313734354186071869e+03
6.736568802558325697e+05,5.110585210294292665e+03
6.746568800343630137e+05,5.110585210294292665e+03
6.746568800343631301e+05,4.832775716010729411e+03
6.756568798128935741e+05,4.832775716010729411e+03
6.756568798128935741e+05,4.430470726184921659e+03
6.766568795914240181e+05,4.430470726184921659e+03
6.766568795914240181e+05,4.160517682437599433e+03
6.776568793699544622e+05,4.160517682437599433e+03
6.776568793699544622e+05,3.889496154862592448e+03
6.786568791484849062e+05,3.889496154862592448e+03
6.786568791484849062e+05,3.549234532875559580e+03
6.796568789270153502e+05,3.549234532875559580e+03
6.796568789270154666e+05,3.238357492880133577e+03
6.806568787055459106e+05,3.238357492880133577e+03
6.806568787055459106e+05,2.974889483478132206e+03
6.816568784840763547e+05,2.974889483478132206e+03
6.816568784840763547e+05,2.705749838717977127e+03
6.826568782626067987e+05,2.705749838717977127e+03
6.826568782626067987e+05,2.436918341700887595e+03
6.836568780411372427e+05,2.436918341700887595e+03
6.836568780411372427e+05,2.170428947391651946e+03
6.846568778196676867e+05,2.170428947391651946e+03
6.846568778196678031e+05,1.962501755653906457e+03
6.856568775981982471e+05,1.962501755653906457e+03
6.856568775981982471e+05,1.731089896797114534e+03
6.866568773767286912e+05,1.731089896797114534e+03
6.866568773767286912e+05,1.519277471672718093e+03
6.876568771552591352e+05,1.519277471672718093e+03
6.876568771552591352e+05,1.335392541104288512e+03
6.886568769337895792e+05,1.335392541104288512e+03
6.886568769337895792e+05,1.161445139354879529e+03
6.896568767123200232e+05,1.161445139354879529e+03
6.896568767123201396e+05,1.015026632472725737e+03
6.906568764908505837e+05,1.015026632472725737e+03
6.906568764908505837e+05,8.487201708214385008e+02
6.916568762693810277e+05,8.487201708214385008e+02
6.916568762693810277e+05,7.233710650966137337e+02
6.926568760479114717e+05,7.233710650966137337e+02
6.926568760479114717e+05,6.100443081402777352e+02
6.936568758264419157e+05,6.100443081402777352e+02
6.936568758264419157e+05,5.160007443248380241e+02
6.946568756049723597e+05,5.160007443248380241e+02
6.946568756049724761e+05,4.250326868973874070e+02
6.956568753835029202e+05,4.250326868973874070e+02
6.956568753835029202e+05,3.510391683558009959e+02
6.966568751620333642e+05,3.510391683558009959e+02
6.966568751620333642e+05,2.883649604396728705e+02
6.976568749405638082e+05,2.883649604396728705e+02
6.976568749405638082e+05,2.405851459191495110e+02
6.986568747190942522e+05,2.405851459191495110e+02
6.986568747190942522e+05,1.909770735553430256e+02
6.996568744976246962e+05,1.909770735553430256e+02
6.996568744976248126e+05,1.543177838298591098e+02
7.006568742761552567e+05,1.543177838298591098e+02
7.006568742761552567e+05,1.223661728332214693e+02
7.016568740546857007e+05,1.223661728332214693e+02
7.016568740546857007e+05,9.582522704268536984e+01
7.026568738332161447e+05,9.582522704268536984e+01
7.026568738332161447e+05,7.734334617351544239e+01
7.036568736117465887e+05,7.734334617351544239e+01
7.036568736117465887e+05,5.973675697853854416e+01
7.046568733902770327e+05,5.973675697853854416e+01
7.046568733902771492e+05,4.666887971596401741e+01
7.056568731688075932e+05,4.666887971596401741e+01
7.056568731688075932e+05,3.647427679677595336e+01
7.066568729473380372e+05,3.647427679677595336e+01
7.066568729473380372e+05,2.808046053093676875e+01
7.076568727258684812e+05,2.808046053093676875e+01
7.076568727258684812e+05,2.084490643483357175e+01
7.086568725043989252e+05,2.084490643483357175e+01
7.086568725043989252e+05,1.614806949495367050e+01
7.096568722829293692e+05,1.614806949495367050e+01
7.096568722829294857e+05,1.201442758022277602e+01
7.106568720614599297e+05,1.201442758022277602e+01
7.106568720614599297e+05,9.112051821421120579e+00
7.116568718399903737e+05,9.112051821421120579e+00
